anime_id,hybrid_score,name,genre,type,rating,members,user_id
21881,0.9792980495655528,Sword Art Online II,"Action, Adventure, Fantasy, Game, Romance",TV,7.35,537892,1
24703,0.9296903659163556,High School DxD BorN,"Action, Comedy, Demons, Ecchi, Harem, Romance, School",TV,7.71,192171,1
10793,0.7731098478332299,Guilty Crown,"Action, Drama, Sci-Fi, Super Power",TV,7.81,460959,1
18679,0.4,Kill la Kill,"Action, Comedy, School, Super Power",TV,8.23,508118,1
23755,0.4,Nanatsu no Taizai,"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural",TV,8.42,331627,1
16894,0.6000000000000001,Kuroko no Basket 2nd Season,"Comedy, School, Shounen, Sports",TV,8.58,243325,2
24415,0.5062071531578582,Kuroko no Basket 3rd Season,"Comedy, School, Shounen, Sports",TV,8.62,184525,2
20583,0.25425605851663513,Haikyuu!!,"Comedy, Drama, School, Shounen, Sports",TV,8.68,284498,2
16498,0.22245956957583302,Shingeki no Kyojin,"Action, Drama, Fantasy, Shounen, Super Power",TV,8.54,896229,2
9919,0.21133754835499277,Ao no Exorcist,"Action, Demons, Fantasy, Shounen, Supernatural",TV,7.92,583823,2
30276,0.7602377168675163,One Punch Man,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",TV,8.82,552458,3
9253,0.7483341490122636,Steins;Gate,"Sci-Fi, Thriller",TV,9.17,673572,3
4224,0.7260095882627282,Toradora!,"Comedy, Romance, School, Slice of Life",TV,8.45,633817,3
10620,0.5563378496729785,Mirai Nikki (TV),"Action, Mystery, Psychological, Shounen, Supernatural, Thriller",TV,8.07,657190,3
23283,0.5021252008899333,Zankyou no Terror,"Psychological, Thriller",TV,8.26,342893,3
5114,0.7660208028470126,Fullmetal Alchemist: Brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",TV,9.26,793665,5
28977,0.5829088897977817,Gintama°,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,9.25,114262,5
12355,0.4,Ookami Kodomo no Ame to Yuki,"Fantasy, Slice of Life",Movie,8.84,226193,5
5081,0.4,Bakemonogatari,"Mystery, Romance, Supernatural, Vampire",TV,8.39,482268,5
24701,0.3999999999999999,Mushishi Zoku Shou 2nd Season,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,8.88,75894,5
75,0.4,Soukyuu no Fafner: Dead Aggressor,"Action, Drama, Mecha, Military, Sci-Fi",TV,7.38,27516,7
1726,0.4,Devil May Cry,"Action, Demons, Fantasy",TV,7.15,166398,7
2124,0.4,Code Geass: Hangyaku no Lelouch Recaps,"Action, Mecha, Military, School, Super Power",Special,7.12,23194,7
2952,0.4,Final Fantasy VII: Advent Children Complete,"Action, Fantasy, Super Power",OVA,8.17,77111,7
8098,0.4,Soukyuu no Fafner: Dead Aggressor - Heaven and Earth,"Action, Drama, Mecha, Military, Sci-Fi",Movie,7.46,8266,7
11617,0.8,High School DxD,"Comedy, Demons, Ecchi, Harem, Romance, School",TV,7.7,398660,8
21881,0.5523312463726628,Sword Art Online II,"Action, Adventure, Fantasy, Game, Romance",TV,7.35,537892,8
6547,0.3898736408773046,Angel Beats!,"Action, Comedy, Drama, School, Supernatural",TV,8.39,717796,8
19815,0.3852050700065845,No Game No Life,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",TV,8.47,602291,8
10719,0.38359856312254126,Boku wa Tomodachi ga Sukunai,"Comedy, Ecchi, Harem, Romance, School, Seinen, Slice of Life",TV,7.57,325664,8
4472,0.5892667477988468,Lucky☆Star: Original na Visual to Animation,"Comedy, Parody, School, Slice of Life",OVA,7.92,84833,9
849,0.32112494038748635,Suzumiya Haruhi no Yuuutsu,"Comedy, Mystery, Parody, School, Sci-Fi, Slice of Life",TV,8.06,428569,9
5680,0.2974201864815052,K-On!,"Comedy, Music, School, Slice of Life",TV,7.87,386048,9
66,0.2713973777419591,Azumanga Daioh,"Comedy, School, Slice of Life",TV,8.06,170901,9
7791,0.2508907380728154,K-On!!,"Comedy, Music, School, Slice of Life",TV,8.14,246276,9
16498,0.6000000000000001,Shingeki no Kyojin,"Action, Drama, Fantasy, Shounen, Super Power",TV,8.54,896229,10
10711,0.4,Plastic Neesan,"Comedy, School",ONA,7.41,83977,10
19815,0.3838631371354936,No Game No Life,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",TV,8.47,602291,10
28623,0.36000000000000004,Koutetsujou no Kabaneri,"Action, Drama, Fantasy, Horror",TV,7.39,253027,10
6547,0.35676590486554083,Angel Beats!,"Action, Comedy, Drama, School, Supernatural",TV,8.39,717796,10
2001,0.7563545665241601,Tengen Toppa Gurren Lagann,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,8.78,562962,11
245,0.4,Great Teacher Onizuka,"Comedy, Drama, School, Shounen, Slice of Life",TV,8.77,268487,11
293,0.4,Di Gi Charat,"Comedy, Fantasy, Sci-Fi",TV,6.85,12227,11
1683,0.4,Di Gi Charat Nyo,"Comedy, Fantasy, Sci-Fi",TV,7.32,3782,11
10321,0.4,Uta no☆Prince-sama♪ Maji Love 1000%,"Comedy, Harem, Music, Romance, School, Shoujo",TV,7.37,105723,11
10620,0.9475795352240753,Mirai Nikki (TV),"Action, Mystery, Psychological, Shounen, Supernatural, Thriller",TV,8.07,657190,12
10087,0.7447700300024442,Fate/Zero,"Action, Fantasy, Supernatural",TV,8.51,453630,12
11741,0.726258429271452,Fate/Zero 2nd Season,"Action, Fantasy, Supernatural, Thriller",TV,8.73,340973,12
5081,0.7166796933328343,Bakemonogatari,"Mystery, Romance, Supernatural, Vampire",TV,8.39,482268,12
356,0.7145044502877402,Fate/stay night,"Action, Fantasy, Magic, Romance, Supernatural",TV,7.58,374880,12
